Site,Capteur,Modèle,R²,RMSE (µg/m³),MAE (µg/m³),N_Train,N_Test,Est_Champion
SITE 10,P1 EXT,Random Forest,0.011,6.97,5.57,112,15,
SITE 10,P1 EXT,XGBoost,-0.004,7.02,5.73,112,15,
SITE 10,P1 EXT,LightGBM,0.218,6.2,5.06,112,15,⭐
SITE 10,P1 EXT,SARIMAX,-2.077,12.3,10.47,112,15,
SITE 10,P2 INT,Random Forest,-0.17,92.55,56.99,112,15,
SITE 10,P2 INT,XGBoost,-0.326,98.53,57.34,112,15,
SITE 10,P2 INT,LightGBM,-0.149,91.72,47.42,112,15,⭐
SITE 10,P2 INT,SARIMAX,-0.484,104.22,60.01,112,15,
SITE 1,P1 EXT,Random Forest,-1.534,14.67,10.84,172,22,
SITE 1,P1 EXT,XGBoost,-2.09,16.2,12.31,172,22,
SITE 1,P1 EXT,LightGBM,-1.257,13.85,12.16,172,22,
SITE 1,P1 EXT,SARIMAX,-0.331,10.63,8.31,172,22,⭐
SITE 1,P2 INT,Random Forest,-0.424,42.27,38.48,144,18,
SITE 1,P2 INT,XGBoost,-0.199,38.79,33.54,144,18,
SITE 1,P2 INT,LightGBM,0.194,31.81,28.52,144,18,⭐
SITE 1,P2 INT,SARIMAX,-0.077,36.76,33.48,144,18,
SITE 2,P1 EXT,Random Forest,-0.185,7.91,5.87,172,22,⭐
SITE 2,P1 EXT,XGBoost,-0.185,7.91,6.16,172,22,
SITE 2,P1 EXT,LightGBM,-0.333,8.39,6.56,172,22,
SITE 2,P1 EXT,SARIMAX,-2.724,14.02,12.22,172,22,
SITE 2,P2 INT,Random Forest,-0.262,12.38,10.3,172,22,
SITE 2,P2 INT,XGBoost,-0.617,14.01,12.09,172,22,
SITE 2,P2 INT,LightGBM,0.205,9.82,7.92,172,22,⭐
SITE 2,P2 INT,SARIMAX,-0.033,11.2,9.04,172,22,
SITE 3,P1 EXT,Random Forest,-1.471,3.44,3.14,172,22,
SITE 3,P1 EXT,XGBoost,-2.253,3.95,3.56,172,22,
SITE 3,P1 EXT,LightGBM,-0.268,2.46,2.17,172,22,⭐
SITE 3,P1 EXT,SARIMAX,-41.539,14.27,13.3,172,22,
SITE 3,P2 INT,Random Forest,-2.192,7.9,6.33,172,22,
SITE 3,P2 INT,XGBoost,-1.558,7.08,5.97,172,22,⭐
SITE 3,P2 INT,LightGBM,-1.879,7.51,6.33,172,22,
SITE 3,P2 INT,SARIMAX,-24.921,22.52,20.88,172,22,
SITE 4,P1 EXT,Random Forest,0.068,6.2,5.29,150,19,⭐
SITE 4,P1 EXT,XGBoost,-0.83,8.69,7.19,150,19,
SITE 4,P1 EXT,LightGBM,-0.275,7.25,6.25,150,19,
SITE 4,P1 EXT,SARIMAX,-5.003,15.73,14.36,150,19,
SITE 4,P2 INT,Random Forest,-1.373,6.95,6.17,172,22,
SITE 4,P2 INT,XGBoost,-2.941,8.96,8.09,172,22,
SITE 4,P2 INT,LightGBM,-0.178,4.9,4.12,172,22,⭐
SITE 4,P2 INT,SARIMAX,-2.871,8.88,7.92,172,22,
SITE 5,P1 EXT,Random Forest,-0.011,6.97,4.95,157,20,
SITE 5,P1 EXT,XGBoost,-0.836,9.39,6.32,157,20,
SITE 5,P1 EXT,LightGBM,0.053,6.74,5.07,157,20,⭐
SITE 5,P1 EXT,SARIMAX,-1.332,10.58,7.64,157,20,
SITE 5,P2 INT,Random Forest,-2.996,8.44,7.18,78,10,⭐
SITE 5,P2 INT,XGBoost,-7.42,12.25,10.39,78,10,
SITE 5,P2 INT,LightGBM,-4.041,9.48,8.02,78,10,
SITE 5,P2 INT,SARIMAX,-35.233,25.4,25.02,78,10,
SITE 8,P1 EXT,Random Forest,-0.698,12.06,10.29,116,15,
SITE 8,P1 EXT,XGBoost,-0.223,10.24,7.91,116,15,
SITE 8,P1 EXT,LightGBM,-0.807,12.44,11.06,116,15,
SITE 8,P1 EXT,SARIMAX,-0.113,9.76,8.3,116,15,⭐
SITE 9,P1 EXT,Random Forest,0.091,6.27,4.66,116,15,⭐
SITE 9,P1 EXT,XGBoost,-0.064,6.78,5.37,116,15,
SITE 9,P1 EXT,LightGBM,-0.257,7.37,6.13,116,15,
SITE 9,P1 EXT,SARIMAX,-0.215,7.25,5.61,116,15,
